"jitter","jitter_abs","jitter_rap","jitter_ppq5","jitter_ddp"
0.00662,3.38e-05,0.00401,0.00317,0.01204
0.003,1.68e-05,0.00132,0.0015,0.00395
0.00481,2.46e-05,0.00205,0.00208,0.00616
0.00528,2.66e-05,0.00191,0.00264,0.00573
0.00335,2.01e-05,0.00093,0.0013,0.00278
0.00353,2.29e-05,0.00119,0.00159,0.00357
0.00422,2.4e-05,0.00212,0.00221,0.00637
0.00476,2.47e-05,0.00226,0.00259,0.00678
0.00432,2.85e-05,0.00156,0.00207,0.00468
0.00496,2.7e-05,0.00258,0.00253,0.00773
0.00465,2.55e-05,0.00238,0.0026,0.00715
0.00537,3.22e-05,0.00236,0.00278,0.00709
0.00524,3.29e-05,0.00235,0.00251,0.00704
0.00354,2.39e-05,0.00142,0.0015,0.00427
0.0053,3.18e-05,0.00241,0.00231,0.00724
0.00456,2.91e-05,0.00152,0.00194,0.00457
0.00693,3.93e-05,0.00329,0.00285,0.00987
0.00652,3.78e-05,0.00313,0.00311,0.0094
0.00571,3.71e-05,0.00296,0.00293,0.00889
0.00372,2.22e-05,0.00181,0.00195,0.00542
0.00285,1.65e-05,0.00079,0.00109,0.00237
0.00629,3.57e-05,0.00278,0.00293,0.00835
0.00375,2.22e-05,0.00157,0.00175,0.00471
0.00386,2.26e-05,0.00178,0.00195,0.00535
0.00348,1.55e-05,0.00124,0.00133,0.00372
0.0095,5.88e-05,0.00446,0.00457,0.01337
0.00401,2.41e-05,0.00149,0.00185,0.00446
0.0034,2.05e-05,0.00178,0.00162,0.00533
0.00317,1.74e-05,0.00128,0.00156,0.00385
0.00471,2.83e-05,0.00165,0.00146,0.00496
0.00772,3.97e-05,0.00437,0.0042,0.0131
0.00686,3.8e-05,0.00369,0.00358,0.01107
0.00292,1.82e-05,0.00091,0.00133,0.00273
0.0034,1.73e-05,0.00161,0.00174,0.00482
0.00379,2.06e-05,0.00149,0.00176,0.00446
0.00736,3.91e-05,0.00396,0.0042,0.01187
0.00991,5.69e-05,0.00417,0.00546,0.01251
0.00257,1.67e-05,0.00117,0.00129,0.00352
0.00395,2.31e-05,0.00158,0.00232,0.00473
0.00287,1.63e-05,0.00113,0.00125,0.00338
0.00806,4.27e-05,0.00427,0.00434,0.0128
0.00656,3.77e-05,0.00332,0.00365,0.00995
0.00389,2.51e-05,0.00149,0.00166,0.00448
0.00413,2.27e-05,0.00163,0.00146,0.00489
0.00383,2.35e-05,0.00136,0.00168,0.00408
0.00333,1.95e-05,0.00144,0.00177,0.00431
0.00354,1.98e-05,0.00181,0.0019,0.00542
0.00419,2.77e-05,0.00131,0.00168,0.00392
0.00369,2.22e-05,0.00149,0.00183,0.00446
0.00413,2.07e-05,0.00173,0.00165,0.0052
0.00293,1.58e-05,0.001,0.00099,0.003
0.00565,3.23e-05,0.00203,0.00197,0.00608
0.00279,1.55e-05,0.00127,0.00138,0.0038
0.00575,3.44e-05,0.00283,0.00333,0.00848
0.00528,3.1e-05,0.00133,0.00137,0.00398
0.008,4.26e-05,0.00417,0.00423,0.01252
0.00456,2.48e-05,0.00216,0.00199,0.00649
0.0066,3.85e-05,0.00283,0.00329,0.00849
0.00622,2.89e-05,0.00282,0.00322,0.00846
0.00423,1.95e-05,0.0022,0.00205,0.00659
0.00318,1.68e-05,0.00138,0.00153,0.00415
0.00423,2.3e-05,0.00159,0.0018,0.00478
0.00302,1.83e-05,0.0015,0.00148,0.00449
0.00199,1.23e-05,9e-04,0.00106,0.00269
0.00271,1.57e-05,0.00101,0.00105,0.00304
0.0054,2.83e-05,0.00251,0.00258,0.00753
0.00332,1.85e-05,0.0017,0.00177,0.00511
0.00292,1.53e-05,0.00125,0.00149,0.00375
0.00213,1.34e-05,0.00081,0.00104,0.00242
0.00441,2.75e-05,0.00176,0.00204,0.00527
0.00412,2.43e-05,0.00216,0.00232,0.00649
0.0048,2.83e-05,0.00183,0.00162,0.00549
0.00573,4.07e-05,0.00194,0.00257,0.00581
0.00508,2.7e-05,0.00228,0.00258,0.00683
0.00217,1.14e-05,0.00086,0.00099,0.00259
0.00519,2.6e-05,0.00168,0.00203,0.00504
0.00448,2.41e-05,0.00229,0.00235,0.00688
0.00349,2.15e-05,0.00119,0.00137,0.00358
